id_imagen,id_propiedad,nombre_archivo,formato,resolucion_megapixeles,resolucion_pixeles,tamano_kb,zona,anillo_vial,tipo_propiedad,label_ambiente,label_estado_conservacion,label_estado_numerico,camara,condicion_iluminacion,angulo_toma,fecha_captura,hora_captura,nitidez_score,brillo_score,contraste_score,tiene_marca_agua,tiene_personas_visibles,grietas_visibles,humedad_visible,pintura_deteriorada,instalaciones_expuestas,detalle_ambiente,split,peso_clase_ambiente,apto_entrenamiento
IMG-000025,SC-00468,SC-00468_Comedor_000025.png,PNG,8.4,1920x1080,1246,Urbarí,2,Departamento,Comedor,En construcción,4,Smartphone gama media,Mixta,Frontal,2023-02-28,09:17,80.9,91.5,84.6,0,0,0,0,1,0,,train,0.0017,1
IMG-000026,SC-02214,SC-02214_Baño_000026.jpeg,JPEG,48.5,3840x2160,12910,Equipetrol Sur,3,Departamento,Baño,Bueno,1,Smartphone gama media,Natural abundante,Angular,2023-10-05,18:51,83.3,81.4,47.2,0,0,0,0,0,0,,train,0.001,1
IMG-000027,SC-01867,SC-01867_Sala_000027.jpeg,JPEG,50.2,3840x2160,2955,Norte (Radial 26),4,Casa,Sala,Bueno,1,Smartphone gama alta,Natural moderada,Detalle,2023-05-21,15:41,67.2,83.3,74.8,0,0,0,0,1,0,estilo:Clásico,train,0.0007,1
IMG-000028,SC-01531,SC-01531_Jardín_Patio_000028.jpeg,JPEG,9.3,4000x3000,1628,Sur (Doble Vía La Guardia),4,Departamento,Jardín/Patio,Bueno,1,Smartphone gama media,Natural moderada,Picado,2022-06-14,16:53,76.4,85.7,53.2,1,0,0,0,0,0,,train,0.0011,0
IMG-000029,SC-00457,SC-00457_Baño_000029.jpeg,JPEG,16.1,1280x720,9002,Av. Cristo Redentor,3,Departamento,Baño,Regular,2,Cámara DSLR,Mixta,Picado,2022-02-01,09:09,63.9,72.8,26.7,0,0,1,0,1,0,,test,0.001,1
IMG-000030,SC-01410,SC-01410_Fachada_exterior_000030.heic,HEIC,48.7,3840x2160,20968,Villa 1ro de Mayo,4,Terreno,Fachada exterior,Malo,3,Smartphone básico,Natural moderada,Detalle,2022-09-16,16:44,85.9,68.5,55.0,1,0,1,0,0,0,color:Verde,test,0.0008,0
IMG-000031,SC-02696,SC-02696_Fachada_exterior_000031.jpeg,JPEG,49.6,3840x2160,7992,Hamacas,2,Departamento,Fachada exterior,Excelente,0,Smartphone gama alta,Natural moderada,Angular,2022-08-27,10:43,92.1,68.7,49.3,1,0,0,0,0,0,color:Gris,train,0.0008,0
IMG-000032,SC-01975,SC-01975_Cocina_000032.png,PNG,48.4,3840x2160,3251,Palermo,3,Casa,Cocina,Excelente,0,Smartphone gama media,Natural moderada,Panorámica,2023-10-18,17:29,90.5,41.8,59.9,0,1,0,0,0,0,,val,0.0008,1
IMG-000033,SC-00585,SC-00585_Dormitorio_000033.jpeg,JPEG,16.1,3840x2160,5024,Las Palmas,2,Casa,Dormitorio,Bueno,1,Smartphone gama alta,Artificial cálida,Angular,2023-10-06,11:45,63.3,86.8,53.1,0,0,0,0,0,0,,train,0.0006,1
IMG-000034,SC-02098,SC-02098_Cocina_000034.png,PNG,12.1,1920x1080,2843,Equipetrol Norte,3,Casa,Cocina,Bueno,1,Smartphone gama alta,Artificial fría,Detalle,2023-01-06,15:53,91.3,91.4,56.0,0,0,0,0,0,0,,train,0.0008,1
IMG-000035,SC-02086,SC-02086_Sala_000035.jpeg,JPEG,64.4,2560x1440,9805,Villa 1ro de Mayo,4,Casa,Sala,Bueno,1,Smartphone gama alta,Artificial fría,Frontal,2022-06-27,10:11,80.0,97.9,50.4,1,0,0,0,1,0,estilo:Moderno,train,0.0007,0
IMG-000036,SC-02139,SC-02139_Dormitorio_000036.jpeg,JPEG,49.4,1920x1080,5310,Plan 3000,4,Casa,Dormitorio,En construcción,4,Smartphone gama alta,Artificial cálida,Frontal,2023-02-20,14:31,83.1,86.6,57.4,0,0,0,1,1,1,,test,0.0006,1
IMG-000037,SC-02767,SC-02767_Jardín_Patio_000037.heic,HEIC,50.1,3840x2160,7876,Warnes,6,Departamento,Jardín/Patio,Bueno,1,Smartphone básico,Artificial cálida,Panorámica,2022-09-26,09:44,94.0,86.0,51.6,0,0,0,0,1,0,,val,0.0011,1
IMG-000038,SC-01989,SC-01989_Sala_000038.heic,HEIC,64.3,1920x1080,5306,Villa 1ro de Mayo,4,Terreno,Sala,Excelente,0,Smartphone gama alta,Artificial cálida,Panorámica,2022-04-03,18:02,85.9,83.8,62.1,0,0,0,0,0,0,estilo:Moderno,train,0.0007,1
IMG-000039,SC-02300,SC-02300_Jardín_Patio_000039.jpeg,JPEG,48.6,1280x720,3044,Cotoca (periurbano),6,Terreno,Jardín/Patio,Regular,2,Smartphone básico,Natural escasa,Panorámica,2022-04-13,10:20,77.0,68.3,67.5,0,0,0,1,0,0,,train,0.0011,1
IMG-000040,SC-02236,SC-02236_Fachada_exterior_000040.jpeg,JPEG,51.5,2560x1440,5371,Las Palmas,2,Departamento,Fachada exterior,Bueno,1,Cámara DSLR,Natural moderada,Angular,2023-12-10,15:31,82.0,68.9,69.1,0,0,0,0,1,0,color:Ocre,train,0.0008,1
IMG-000041,SC-00896,SC-00896_Baño_000041.heic,HEIC,48.7,1280x720,7671,Villa 1ro de Mayo,4,Oficina,Baño,Regular,2,Smartphone gama alta,Mixta,Frontal,2024-01-08,10:53,81.8,76.3,59.1,0,1,0,0,0,0,,train,0.001,1
IMG-000042,SC-01756,SC-01756_Terraza_Balcón_000042.jpeg,JPEG,51.5,1920x1080,9043,Plan 3000,4,Departamento,Terraza/Balcón,Regular,2,Smartphone gama alta,Natural abundante,Picado,2023-04-13,18:12,92.6,88.4,61.1,1,0,0,0,1,0,,test,0.0025,0
IMG-000043,SC-01264,SC-01264_Terraza_Balcón_000043.heic,HEIC,50.8,4000x3000,2090,Warnes,6,Local Comercial,Terraza/Balcón,Bueno,1,Smartphone gama alta,Artificial fría,Detalle,2022-03-24,08:57,65.6,78.9,84.1,1,0,0,0,0,0,,val,0.0025,0
IMG-000044,SC-01963,SC-01963_Sala_000044.jpeg,JPEG,49.4,4000x3000,7500,Beni (zona norte),3,Casa,Sala,Bueno,1,Smartphone gama alta,Natural moderada,Angular,2022-06-12,15:36,96.4,67.1,92.7,0,0,0,0,0,0,estilo:Rústico,train,0.0007,1
IMG-000045,SC-01106,SC-01106_Fachada_exterior_000045.jpeg,JPEG,48.3,1920x1080,10365,Equipetrol Sur,3,Local Comercial,Fachada exterior,Malo,3,Cámara DSLR,Natural escasa,Contrapicado,2022-05-01,16:47,99.0,75.7,80.1,1,0,1,1,0,1,color:Blanco,train,0.0008,0
IMG-000046,SC-02151,SC-02151_Baño_000046.jpeg,JPEG,16.3,3840x2160,17643,Palermo,3,Terreno,Baño,Bueno,1,Smartphone gama media,Natural escasa,Picado,2023-03-20,09:15,69.5,84.5,68.9,0,0,0,0,0,0,,train,0.001,1
IMG-000047,SC-01241,SC-01241_Comedor_000047.heic,HEIC,48.9,2560x1440,1998,Av. Paurito,5,Casa,Comedor,Malo,3,Cámara DSLR,Mixta,Detalle,2023-09-10,18:46,75.6,64.4,65.2,0,0,1,0,0,1,,val,0.0017,1
IMG-000048,SC-02719,SC-02719_Cocina_000048.jpeg,JPEG,50.3,2560x1440,3739,Warnes,6,Departamento,Cocina,Regular,2,Smartphone gama media,Natural moderada,Frontal,2023-07-28,08:23,92.5,93.5,34.4,0,0,1,0,0,0,,val,0.0008,1
IMG-000049,SC-00556,SC-00556_Cocina_000049.heic,HEIC,12.9,1920x1080,22240,Barrio Sirari,3,Terreno,Cocina,Malo,3,Smartphone básico,Artificial cálida,Picado,2022-04-03,18:25,79.7,56.7,69.7,0,0,1,1,1,1,,train,0.0008,1
IMG-000050,SC-01878,SC-01878_Sala_000050.jpeg,JPEG,16.6,2560x1440,25204,Beni (zona norte),3,Local Comercial,Sala,Bueno,1,Smartphone gama alta,Artificial fría,Picado,2023-10-08,15:33,69.9,42.9,62.9,0,0,0,0,0,0,estilo:Rústico,train,0.0007,1
IMG-000051,SC-02570,SC-02570_Jardín_Patio_000051.png,PNG,48.8,1920x1080,11027,Palermo,3,Casa,Jardín/Patio,Bueno,1,Smartphone gama alta,Natural abundante,Detalle,2023-08-31,17:35,64.7,83.3,79.7,0,0,0,0,1,0,,val,0.0011,1
IMG-000052,SC-02815,SC-02815_Jardín_Patio_000052.jpeg,JPEG,51.4,3840x2160,11526,Palermo,3,Terreno,Jardín/Patio,Bueno,1,Smartphone gama media,Natural moderada,Angular,2023-08-01,08:54,90.3,97.3,63.2,0,1,0,0,0,0,,train,0.0011,1
IMG-000053,SC-00574,SC-00574_Sala_000053.webp,WEBP,51.3,2560x1440,7166,Palermo,3,Casa,Sala,Bueno,1,Smartphone básico,Natural moderada,Angular,2023-09-17,12:50,78.9,84.8,83.8,0,0,0,0,0,0,estilo:Minimalista,train,0.0007,1
IMG-000054,SC-00388,SC-00388_Estudio_Oficina_000054.jpeg,JPEG,48.6,1920x1080,8617,Av. Cristo Redentor,3,Casa,Estudio/Oficina,Bueno,1,Smartphone básico,Artificial cálida,Detalle,2022-07-10,09:47,91.0,67.7,55.7,0,0,0,0,0,0,,train,0.0025,1
IMG-000055,SC-00556,SC-00556_Escalera_000055.heic,HEIC,13.5,1920x1080,2020,Barrio Sirari,3,Terreno,Escalera,Malo,3,Smartphone gama media,Natural abundante,Contrapicado,2023-08-22,07:28,90.8,80.7,72.8,0,0,0,0,1,1,,train,0.0033,1
IMG-000056,SC-00681,SC-00681_Dormitorio_000056.heic,HEIC,51.8,3840x2160,2306,Equipetrol Norte,3,Casa,Dormitorio,Regular,2,Smartphone gama alta,Artificial cálida,Panorámica,2022-10-14,18:48,62.4,78.5,73.1,0,1,1,1,1,0,,test,0.0006,1
IMG-000057,SC-01348,SC-01348_Comedor_000057.jpeg,JPEG,108.2,2560x1440,5037,Warnes,6,Terreno,Comedor,Bueno,1,Smartphone gama media,Natural escasa,Contrapicado,2023-04-03,08:02,67.0,79.5,56.8,0,0,0,0,1,0,,train,0.0017,1
IMG-000058,SC-01598,SC-01598_Sala_000058.jpeg,JPEG,66.0,4000x3000,3056,Plan 3000,4,Departamento,Sala,Bueno,1,Smartphone gama alta,Artificial cálida,Detalle,2022-12-20,16:34,62.5,51.0,82.3,0,1,0,0,0,0,estilo:Minimalista,val,0.0007,1
IMG-000059,SC-00139,SC-00139_Garaje_000059.png,PNG,13.2,1280x720,21368,Av. Cristo Redentor,3,Casa,Garaje,Malo,3,Smartphone gama media,Mixta,Panorámica,2022-07-01,15:07,78.9,67.2,74.1,1,0,0,0,0,0,,train,0.0017,0
IMG-000060,SC-02967,SC-02967_Comedor_000060.jpeg,JPEG,65.1,1920x1080,3129,Hamacas,2,Duplex,Comedor,Excelente,0,Smartphone gama media,Artificial cálida,Contrapicado,2024-02-12,14:54,78.7,60.3,50.9,0,0,0,0,0,0,,test,0.0017,1
IMG-000061,SC-02739,SC-02739_Cocina_000061.jpeg,JPEG,49.7,2560x1440,3587,Urbarí,2,Casa,Cocina,Bueno,1,Smartphone básico,Mixta,Picado,2022-11-26,12:37,95.9,79.6,69.8,1,0,0,0,0,0,,train,0.0008,0
IMG-000062,SC-01984,SC-01984_Baño_000062.jpeg,JPEG,65.0,2560x1440,18483,Casco Viejo,1,Departamento,Baño,Regular,2,Smartphone gama media,Natural moderada,Picado,2023-10-13,18:42,77.7,81.3,50.0,0,0,1,1,1,0,,val,0.001,1
IMG-000063,SC-02504,SC-02504_Sala_000063.jpeg,JPEG,9.4,1280x720,15195,Plan 3000,4,Departamento,Sala,Bueno,1,Drone,Natural abundante,Panorámica,2023-01-29,16:33,86.9,83.1,70.9,1,0,0,0,0,0,estilo:Minimalista,train,0.0007,0
IMG-000064,SC-01871,SC-01871_Baño_000064.heic,HEIC,65.5,2560x1440,8919,Palermo,3,Duplex,Baño,Bueno,1,Smartphone gama alta,Natural moderada,Angular,2024-01-24,15:03,61.2,63.4,56.4,1,1,0,0,1,0,,train,0.001,0
IMG-000065,SC-02816,SC-02816_Cocina_000065.heic,HEIC,49.6,1280x720,9595,Av. Cristo Redentor,3,Departamento,Cocina,Malo,3,Smartphone básico,Natural escasa,Contrapicado,2023-06-07,16:03,86.7,92.8,61.7,0,0,0,1,0,0,,train,0.0008,1
IMG-000066,SC-02541,SC-02541_Dormitorio_000066.png,PNG,8.3,3840x2160,4256,El Trompillo,2,Departamento,Dormitorio,Bueno,1,Cámara DSLR,Natural escasa,Picado,2023-04-26,17:00,84.1,84.4,84.2,0,0,0,0,1,0,,train,0.0006,1
IMG-000067,SC-00681,SC-00681_Fachada_exterior_000067.png,PNG,13.3,4000x3000,10541,Palermo,3,Casa,Fachada exterior,Excelente,0,Smartphone gama alta,Natural moderada,Frontal,2023-09-13,19:44,72.0,59.9,53.3,0,1,0,0,0,0,color:Azul,val,0.0008,1
IMG-000068,SC-02669,SC-02669_Fachada_exterior_000068.heic,HEIC,51.4,4000x3000,7852,Palermo,3,Casa,Fachada exterior,Malo,3,Cámara mirrorless,Artificial cálida,Detalle,2022-06-30,15:31,89.7,74.4,57.5,0,0,1,0,0,0,color:Beige,test,0.0008,1
IMG-000069,SC-01621,SC-01621_Fachada_exterior_000069.jpeg,JPEG,13.0,2560x1440,3304,Casco Viejo,1,Casa,Fachada exterior,Malo,3,Cámara mirrorless,Natural moderada,Panorámica,2022-07-20,08:59,75.6,54.2,78.5,0,1,0,0,0,0,color:Verde,train,0.0008,1
IMG-000070,SC-01003,SC-01003_Dormitorio_000070.png,PNG,65.0,1280x720,5725,Los Pozos,3,Local Comercial,Dormitorio,Bueno,1,Cámara mirrorless,Natural escasa,Panorámica,2022-07-21,15:42,54.5,92.2,55.5,0,0,0,0,0,0,,train,0.0006,1
IMG-000071,SC-02742,SC-02742_Cocina_000071.jpeg,JPEG,17.0,3840x2160,6955,Barrio Sirari,3,Terreno,Cocina,Malo,3,Smartphone gama alta,Natural escasa,Frontal,2023-11-03,08:32,88.8,66.5,58.7,0,0,1,0,0,0,,test,0.0008,1
IMG-000072,SC-00103,SC-00103_Baño_000072.jpeg,JPEG,13.5,3840x2160,3065,Av. Cristo Redentor,3,Casa,Baño,Regular,2,Drone,Natural moderada,Picado,2022-01-09,17:37,63.7,98.6,75.9,0,1,0,0,1,0,,train,0.001,1
IMG-000073,SC-01305,SC-01305_Piscina_Área_social_000073.heic,HEIC,64.4,3840x2160,2027,Sur (Doble Vía La Guardia),4,Terreno,Piscina/Área social,Bueno,1,Smartphone gama media,Natural moderada,Angular,2024-01-08,08:27,79.4,74.1,74.8,0,0,0,0,0,0,area_social:si,train,0.0033,1
IMG-000074,SC-00857,SC-00857_Cocina_000074.jpeg,JPEG,48.1,4000x3000,13311,Sur (Doble Vía La Guardia),4,Oficina,Cocina,Regular,2,Smartphone gama alta,Natural escasa,Panorámica,2023-02-03,10:26,66.3,93.7,92.6,0,0,0,1,1,0,,train,0.0008,1
IMG-000075,SC-02324,SC-02324_Comedor_000075.heic,HEIC,17.7,1280x720,14599,Los Pozos,3,Casa,Comedor,En construcción,4,Smartphone gama alta,Natural moderada,Contrapicado,2023-04-28,09:44,87.2,97.1,90.2,0,1,1,0,1,1,,train,0.0017,1
IMG-000076,SC-01012,SC-01012_Escalera_000076.heic,HEIC,48.5,3840x2160,3797,Av. Banzer (norte),4,Departamento,Escalera,Regular,2,Smartphone gama alta,Mixta,Frontal,2022-08-11,16:34,77.7,88.1,46.5,0,0,0,1,0,0,,train,0.0033,1
IMG-000077,SC-00161,SC-00161_Piscina_Área_social_000077.jpeg,JPEG,49.4,3840x2160,4464,Norte (Radial 26),4,Casa,Piscina/Área social,Excelente,0,Smartphone gama media,Natural abundante,Contrapicado,2024-06-08,10:34,72.3,89.2,53.2,0,1,0,0,0,0,area_social:si,train,0.0033,1
IMG-000078,SC-00084,SC-00084_Escalera_000078.jpeg,JPEG,50.5,2560x1440,4657,Equipetrol Norte,3,Departamento,Escalera,Bueno,1,Cámara mirrorless,Natural escasa,Frontal,2023-08-18,16:37,76.0,92.0,46.3,0,0,0,0,0,0,,train,0.0033,1
IMG-000079,SC-00793,SC-00793_Escalera_000079.jpeg,JPEG,49.5,1920x1080,5620,El Trompillo,2,Casa,Escalera,Regular,2,Smartphone gama alta,Artificial fría,Contrapicado,2023-11-08,10:53,98.2,70.1,59.0,0,0,1,1,0,0,,val,0.0033,1
IMG-000080,SC-01533,SC-01533_Fachada_exterior_000080.heic,HEIC,17.4,3840x2160,10191,Av. Banzer (norte),4,Oficina,Fachada exterior,Excelente,0,Smartphone gama alta,Natural escasa,Panorámica,2023-07-11,17:15,91.9,64.9,61.2,1,0,0,0,0,0,color:Verde,test,0.0008,0
IMG-000081,SC-01140,SC-01140_Jardín_Patio_000081.png,PNG,51.1,4000x3000,6131,Palermo,3,Departamento,Jardín/Patio,Bueno,1,Cámara mirrorless,Artificial cálida,Contrapicado,2023-07-12,13:21,83.9,78.4,61.2,1,0,0,0,0,0,,test,0.0011,0
IMG-000082,SC-00236,SC-00236_Escalera_000082.png,PNG,48.7,2560x1440,14469,Hamacas,2,Departamento,Escalera,Bueno,1,Smartphone gama media,Natural moderada,Angular,2022-01-04,19:53,86.7,47.6,78.0,0,0,0,0,1,0,,train,0.0033,1
IMG-000083,SC-00189,SC-00189_Dormitorio_000083.jpeg,JPEG,51.4,1920x1080,4040,Plan 3000,4,Casa,Dormitorio,Bueno,1,Smartphone gama media,Mixta,Frontal,2023-05-08,08:58,79.1,96.1,73.6,0,1,0,0,0,0,,test,0.0006,1
IMG-000084,SC-02056,SC-02056_Dormitorio_000084.heic,HEIC,51.9,4000x3000,6855,Plan 3000,4,Casa,Dormitorio,Bueno,1,Smartphone gama media,Natural moderada,Angular,2023-10-23,18:25,81.1,89.2,55.0,1,0,0,0,0,0,,test,0.0006,0
IMG-000085,SC-00427,SC-00427_Escalera_000085.heic,HEIC,64.5,2560x1440,4092,Equipetrol Norte,3,Casa,Escalera,Bueno,1,Drone,Mixta,Picado,2024-05-18,19:09,72.2,63.5,83.0,0,0,0,0,1,0,,train,0.0033,1
IMG-000086,SC-01503,SC-01503_Sala_000086.jpeg,JPEG,16.6,1920x1080,3616,Equipetrol Sur,3,Casa,Sala,Excelente,0,Smartphone gama alta,Natural abundante,Picado,2023-03-11,09:14,44.5,62.7,54.8,0,0,0,0,0,0,estilo:Moderno,train,0.0007,1
IMG-000087,SC-01289,SC-01289_Cocina_000087.heic,HEIC,48.5,4000x3000,5433,Norte (Radial 26),4,Casa,Cocina,Regular,2,Smartphone gama media,Natural abundante,Panorámica,2023-02-09,18:48,90.2,56.5,63.9,0,0,0,0,1,0,,train,0.0008,1
IMG-000088,SC-01816,SC-01816_Cocina_000088.heic,HEIC,13.9,3840x2160,3875,Barrio Sirari,3,Terreno,Cocina,Excelente,0,Smartphone gama alta,Natural escasa,Panorámica,2024-01-18,15:56,76.5,90.4,65.3,0,0,0,0,0,0,,train,0.0008,1
IMG-000089,SC-02741,SC-02741_Estudio_Oficina_000089.jpeg,JPEG,48.3,4000x3000,6351,Cotoca (periurbano),6,Oficina,Estudio/Oficina,Bueno,1,Smartphone gama alta,Artificial fría,Picado,2022-08-04,08:14,75.2,67.5,73.7,0,0,0,0,0,0,,val,0.0025,1
IMG-000090,SC-00356,SC-00356_Estudio_Oficina_000090.webp,WEBP,50.4,1920x1080,11448,Hamacas,2,Departamento,Estudio/Oficina,Malo,3,Cámara mirrorless,Natural moderada,Contrapicado,2022-06-10,18:04,85.0,70.0,34.4,0,0,1,0,1,1,,train,0.0025,1
IMG-000091,SC-00783,SC-00783_Jardín_Patio_000091.jpeg,JPEG,48.2,3840x2160,2858,Av. Cristo Redentor,3,Departamento,Jardín/Patio,Bueno,1,Cámara DSLR,Artificial fría,Detalle,2023-01-27,10:06,89.1,64.0,71.5,0,0,0,0,0,0,,train,0.0011,1
IMG-000092,SC-02800,SC-02800_Sala_000092.jpeg,JPEG,49.0,1920x1080,4917,Casco Viejo,1,Casa,Sala,Malo,3,Smartphone gama alta,Natural escasa,Angular,2022-11-22,11:41,88.3,92.5,57.9,0,0,0,0,1,0,estilo:Minimalista,train,0.0007,1
